"","PACFIN_SPECIES_CODE","NOMINAL_TO_ACTUAL_PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","Freq"
"46","CHL1","CHLB","NOM. CALIF HALIBUT",227464
"47","CHLB","CHLB","CALIFORNIA HALIBUT",7178
"48","CHN1","CHNA","NOM. CHINA ROCKFISH",22148
"49","CHNA","CHNA","CHINA ROCKFISH",90965
"50","CHNK","CHNK","CHINOOK SALMON",1197874
"51","CHUM","CHUM","CHUM SALMON",226642
"52","CKLE","CKLE","BASKET COCKLE",17268
"53","CLC1","CLCO","NOM. CALICO ROCKFISH",10
"54","CLCO","CLCO","CALICO ROCKFISH",256
"55","CLP1","CLPR","NOM. CHILIPEPPER",5791
"56","CLPR","CLPR","CHILIPEPPER ROCKFISH",74502
"57","CMCK","CMCK","CHUB MACKEREL",50640
"58","CMEL","CMEL","CHAMELEON ROCKFISH",833
"59","CML1","CMEL","NOM. CHAMELEON ROCKFISH",24
"60","CMSL","CMSL","CALIFORNIA MUSSEL",374
"61","CNR1","CNRY","NOM. CANARY ROCKFISH",31713
"62","CNRY","CNRY","CANARY ROCKFISH",166860
"63","COHO","COHO","COHO SALMON",517606
"64","COP1","COPP","NOM. COPPER ROCKFISH",18123
"65","COPP","COPP","COPPER ROCKFISH",95477
"66","CSKT","CSKT","CALIFORNIA SKATE",1095
"67","CSOL","CSOL","CURLFIN SOLE",3991
"68","CSRK","CSRK","BROWN CAT SHARK",6523
"69","CTRB","CTRB","C-O SOLE",17
"70","CUDA","CUDA","PACIFIC BARRACUDA",7914
"71","CWC1","CWCD","NOM. COWCOD ROCKFISH",1029
"72","CWCD","CWCD","COWCOD ROCKFISH",23764
"73","DBR1","DBRK","NOM. DARKBLOTCHED ROCKFISH",9140
"74","DBRK","DBRK","DARKBLOTCHED ROCKFISH",207895
"75","DCRB","DCRB","DUNGENESS CRAB",1214139
"76","DEAC","DEAC","DEACON ROCKFISH",9742
"77","DOVR","DOVR","DOVER SOLE",282523
"78","DRDO","DRDO","DORADO/DOLPHINFISH",2128
"79","DSOL","DSOL","DEEPSEA SOLE",2075
"80","DSRK","DSRK","SPINY DOGFISH",65984
"81","DTRB","DTRB","DIAMOND TURBOT",226
"82","DVR1","DOVR","NOM. DOVER SOLE",25346
"83","EELS","EELS","UNSP. EELS",582
"84","EGL1","EGLS","NOM. ENGLISH SOLE",20039
"85","EGLS","EGLS","ENGLISH SOLE",154548
"86","ESTR","ESTR","EASTERN OYSTER",329
"87","ETNA","ETNA","BIGEYE TUNA",2669
"88","EULC","EULC","EULACHON",4812
"89","EURO","EURO","EUROPEAN OYSTER",409
"90","FLAG","FLAG","FLAG ROCKFISH",11434
"91","FLG1","FLAG","NOM. FLAG ROCKFISH",1160
"92","FNTS","FNTS","FANTAIL SOLE",2014
"93","FRCK","FRCK","FRECKLED ROCKFISH",128
"94","FSOL","FSOL","FLATHEAD SOLE",14981
"95","GABL","GABL","GREEN ABALONE",84
"96","GBAS","GBAS","GIANT SEA BASS",3811
"97","GBL1","GBLC","NOM. GREENBLOTCHED ROCKFISH",434
"98","GBLC","GBLC","GREENBLOTCHED ROCKFISH",5983
"99","GCLM","GCLM","GAPER CLAM",4600
"100","GDUK","GDUK","GEODUCK",281296
"101","GGRD","GGRD","GIANT GRENADIER",86
"102","GPH1","GPHR","NOM. GOPHER ROCKFISH",20387
"103","GPHR","GPHR","GOPHER ROCKFISH",95906
"104","GPRW","GPRW","GOLDEN PRAWN",10
"105","GRAS","GRAS","GRASS ROCKFISH",43523
"106","GRDR","GRDR","UNSP. GRENADIERS",31475
"107","GREN","GREN","PACIFIC GRENADIER",648
"108","GRS1","GRAS","NOM. GRASS ROCKFISH",24696
"109","GSP1","GSPT","NOM. GREENSPOTTED ROCKFISH",2551
"110","GSPT","GSPT","GREENSPOTTED ROCKFISH",57447
"111","GSR1","GSRK","NOM. GREENSTRIPED ROCKFISH",1228
"112","GSRK","GSRK","GREENSTRIPED ROCKFISH",124143
"113","GSRM","GSRM","GHOST SHRIMP",35625
"114","GSTG","GSTG","GREEN STURGEON",3260
"115","HBRK","HBRK","HALFBANDED ROCKFISH",854
"116","HCLM","HCLM","HORSE CLAMS",1782
"117","HLQN","HLQN","HARLEQUIN ROCKFISH",5345
"118","HNY1","HNYC","NOM. HONEYCOMB ROCKFISH",252
"119","HNYC","HNYC","HONEYCOMB ROCKFISH",209
"120","HTRB","HTRB","HORNYHEAD TURBOT",1396
"121","ISRK","ISRK","BIGEYE THRESHER SHARK",1248
"122","JCLM","JCLM","CALIFORNIA JACKKNIFE CLAM",889
"123","JMCK","JMCK","JACK MACKEREL",56189
"124","KFSH","KFSH","GIANT KELPFISH",9
"125","KGL1","KLPG","NOM. KELP GREENLING",68916
"126","KLP1","KLPR","NOM. KELP ROCKFISH",6611
"127","KLPG","KLPG","KELP GREENLING",22046
"128","KLPR","KLPR","KELP ROCKFISH",37365
"129","KSTR","KSTR","KUMAMOTO OYSTER",691
"130","LCD1","LCOD","NOM. LINGCOD",78808
"131","LCLM","LCLM","NATIVE LITTLENECK",11277
"132","LCOD","LCOD","LINGCOD",255341
"133","LDAB","LDAB","LONGFIN SANDDAB",46
"134","LDB1","LDAB","NOM. LONGFIN SANDDAB",15
"135","LOBS","LOBS","CALIFORNIA SPINY LOBSTER",175345
"136","LSKT","LSKT","LONGNOSE SKATE",60873
"137","LSP1","LSPN","NOM. LONGSPINE THORNYHEAD",39346
"138","LSPN","LSPN","LONGSPINE THORNYHEAD",268371
"139","LSRK","LSRK","LEOPARD SHARK",10008
"140","LSTR","LSTR","OLYMPIA OYSTER",1063
"141","LUVR","LUVR","LOUVAR",1314
"142","MACL","MACL","MUD CLAMS",72
"143","MAKO","MAKO","SHORTFIN MAKO SHARK",15707
"144","MCLM","MCLM","MANILA CLAM",271325
"145","MEEL","MEEL","MONKEYFACE PRICKLEBACK (EEL)",911
"146","MISC","MISC","MISC. FISH/ANIMALS",19934
"147","MOLA","MOLA","MOLA/OCEAN SUNFISH",19
"148","MRLN","MRLN","STRIPED MARLIN",4
"149","MSC2","MSC2","MISC. FISH",23704
"150","MSHP","MSHP","PLAINFIN MIDSHIPMAN",373
"151","MSQD","MSQD","MARKET SQUID",96960
"152","MSRM","MSRM","BLUE MUD SHRIMP",1837
"153","MXR1","MXRF","NOM. MEXICAN ROCKFISH",247
"154","MXRF","MXRF","MEXICAN ROCKFISH",859
"155","NANC","NANC","NORTHERN ANCHOVY",14552
"156","NUSF","NUSF","NOR. UNSP. SHELF ROCKFISH",10178
"157","NUSP","NUSP","NOR. UNSP. SLOPE ROCKFISH",13640
"158","NUSR","NUSR","NOR. UNSP. NEAR-SHORE ROCKFISH",2571
"159","OABL","OABL","OTHER ABALONE",302
"160","OANC","OANC","OTHER ANCHOVY",11
"161","OBAS","OBAS","OTHER BASS",108
"162","OCRB","OCRB","OTHER CRAB",31707
"163","OCRK","OCRK","OTHER CROAKER",1382
"164","OCTP","OCTP","UNSP. OCTOPUS",20249
"165","OFLT","OFLT","OTHER FLATFISH",2787
"166","OGRN","OGRN","OTHER GROUNDFISH",876
"167","OLV1","OLVE","NOM. OLIVE ROCKFISH",3428
"168","OLVE","OLVE","OLIVE ROCKFISH",16803
"169","OMSK","OMSK","OTHER MOLLUSKS",17632
"170","OPAH","OPAH","OPAH",7789
"171","ORCK","ORCK","OTHER ROCKFISH",2508
"172","OSCL","OSCL","OTHER SCALLOP",1076
"173","OSKT","OSKT","OTHER SKATES",6908
"174","OSRK","OSRK","OTHER SHARK",3458
"175","OSRM","OSRM","OTHER SHRIMP",23454
"176","OURC","OURC","OTHER SEA URCHINS",12369
"177","OWFS","OWFS","OCEAN WHITEFISH",6752
"178","PABL","PABL","PINK ABALONE",443
"179","PBNT","PBNT","PACIFIC BONITO",2638
"180","PBTR","PBTR","PACIFIC BUTTERFISH",2410
"181","PCOD","PCOD","PACIFIC COD",68989
"182","PDAB","PDAB","PACIFIC SANDDAB",31995
"183","PDB1","PDAB","NOM. PACIFIC SANDDAB",1759
"184","PGMY","PGMY","PYGMY ROCKFISH",6367
"185","PHAG","PHAG","PACIFIC HAGFISH",4342
"186","PHLB","PHLB","PACIFIC HALIBUT",55585
"187","PHRG","PHRG","PACIFIC HERRING",41236
"188","PINK","PINK","PINK SALMON",41078
"189","PLCK","PLCK","WALLEYE POLLOCK",3560
"190","PNK1","PNKR","NOM. PINK ROCKFISH",79
"191","PNKR","PNKR","PINK ROCKFISH",1691
"192","POP","POP","PACIFIC OCEAN PERCH",213712
"193","POP1","POP1","GEN. SHELF/SLOPE RF",15093
"194","POP2","POP","NOM. POP",13970
"195","PRCL","PRCL","PURPLE CLAM",4
"196","PROW","PROW","PROWFISH",7
"197","PRR1","PRRK","NOM. PINKROSE ROCKFISH",50
"198","PRRK","PRRK","PINKROSE ROCKFISH",118
"199","PSDN","PSDN","PACIFIC SARDINE",68904
"200","PSHP","PSHP","PACIFIC PINK SHRIMP",64383
"201","PSRK","PSRK","PELAGIC THRESHER SHARK",361
"202","PSTR","PSTR","PACIFIC OYSTER",133608
"203","PTR1","PTRL","NOM. PETRALE SOLE",34369
"204","PTRL","PTRL","PETRALE SOLE",217811
"205","PWHT","PWHT","PACIFIC WHITING",247467
